stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding,location_type,parent_station
PH128,,PH128-Parada / Colegio Chile,-33.501150776755736,-70.65407748360596,,0,,
PH129,,PH129-Parada 2 / Paradero 11 Gran Avenida,-33.49850399968732,-70.65333699966317,,0,,
PH130,,PH130-Parada / Paradero 9 1/2 Gran Avenida,-33.49530799989544,-70.6524330004783,,0,,
PH131,,PH131-Parada / Paradero 9 Gran Avenida,-33.49295199962851,-70.65177800047628,,0,,
PH132,,PH132-Parada 2 / Paradero 8 Gran Avenida,-33.4902844958553,-70.65111897118982,,0,,
PH133,,PH133-Parada 2 / Muni.San Miguel,-33.487012000147544,-70.65021900026137,,0,,
PH134,,PH134-Parada 2 / Hospital Barros Luco,-33.484614000426774,-70.64957099982728,,0,,
PH135,,PH135-Parada 2 / Paradero 3 Gran Avenida,-33.47991000009494,-70.64819499947107,,0,,
PA63,,PA63-Parada 2 / (M) Franklin,-33.47587715566639,-70.6481328397715,,0,,
PA64,,PA64-San Diego / esq. Schiavett,-33.4729754132312,-70.64829289435991,,0,,
PA65,,PA65-San Diego / esq. Ñuble,-33.46992935881823,-70.64845235517075,,0,,
PA66,,PA66-Parada / Liceo Barros Borgoño,-33.46632994453218,-70.6486738562294,,0,,
PA67,,PA67-San Diego / esq. Santiago,-33.46292712209423,-70.64884817551939,,0,,
PA68,,PA68-San Diego / esq. Av. Manuel A. Matta,-33.459789680765184,-70.64904461968176,,0,,
PA69,,PA69-Parada / Teatro Caupolicán,-33.45584144133128,-70.64965873964437,,0,,
PA70,,PA70-San Diego / esq. Eyzaguirre,-33.45344534169352,-70.65004143473129,,0,,
PA72,,PA72-Parada 2 / (M) Pque. Almagro,-33.45066877635236,-70.65046359315562,,0,,
PA717,,PA717-Tarapacá / esq. Zenteno,-33.447530425996916,-70.65207500023733,,0,,
PA212,,PA212-Tarapacá / esq. Lord Cochrane,-33.44775571903148,-70.6540147168291,,0,,
PG922,,PG922-General Urrutia / esq. Colbún,-33.61489198362454,-70.708961049277,,0,,
PG923,,PG923-General Urrutia / esq. Parque Conguillio,-33.61637767778546,-70.70511387912568,,0,,
PG1896,,PG1896-El Topacio / esq. Onix,-33.61608493287478,-70.70276605022318,,0,,
PG915,,PG915-El Topacio / esq. M.Toro y Zambrano,-33.614457043733,-70.70210899489689,,0,,
PG736,,PG736-Parada 1 / Est.Maestranza,-33.60670297165712,-70.69719394239098,,0,,
