pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
PI-2,PI-B,PI-ZNP,2,1
PI-3,PI-ZNP,PI-ZP,6,0
PI-4,PI-ZP,PI-ZNP,7,0
PI-5,PI-ZP,PI-L2-V1,2,1
PI-6,PI-ZP,PI-L2-V2,2,1
EC-1,EC-A,EC-ZNP,2,1
EC-2,EC-B,EC-ZNP,2,1
EC-3,EC-C,EC-ZNP,2,1
EC-4,EC-ZNP,EC-ZP,6,0
EC-5,EC-ZP,EC-ZNP,7,0
EC-6,EC-ZP,EC-L1-V1,2,1
EC-7,EC-ZP,EC-L1-V2,2,1
BL-1,BL-A,BL-ZNP,2,1
BL-2,BL-B,BL-ZNP,2,1
BL-3,BL-ZNP,BL-ZP,6,0
BL-4,BL-ZP,BL-ZNP,7,0
BL-5,BL-ZP,BL-L5-V1,2,1
BL-6,BL-ZP,BL-L5-V2,2,1
AG-1,AG-A,AG-ZNP,2,1
AG-2,AG-ZNP,AG-ZP,6,0
AG-3,AG-ZP,AG-ZNP,7,0
AG-4,AG-ZP,AG-L5-V1,2,1
AG-5,AG-ZP,AG-L5-V2,2,1
CV-1,CV-A,CV-ZNP,2,1
CV-2,CV-B,CV-ZNP,2,1
CV-3,CV-ZNP,CV-ZP,6,0
CV-4,CV-ZP,CV-ZNP,7,0
CV-5,CV-ZP,CV-L5-V1,2,1
CV-6,CV-ZP,CV-L5-V2,2,1
